,BATHRM,HF_BATHRM,HEAT,AC,ROOMS,BEDRM,AYB,YR_RMDL,EYB,PRICE,QUALIFIED,SALE_NUM,BLDG_NUM,FIREPLACES,USECODE,LANDAREA,SOURCE,CMPLX_NUM,LIVING_GBA,ZIPCODE,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,WARD,SQUARE,QUADRANT,SALEYEAR,SALEMONTH
128482,1,0,Ht Pump,Y,4,1,1942.0,1,1942,355000.0,Q,6,1,0,16,993,Condominium,1066.0,746.0,20016.0,38.93690265,-77.07824168,Cleveland Park,Ward 3,1798,NW,2017.0,3.0
128485,1,0,Ht Pump,Y,5,1,1942.0,1,1942,399000.0,Q,1,1,0,16,1524,Condominium,1066.0,1145.0,20016.0,38.93690265,-77.07824168,Cleveland Park,Ward 3,1798,NW,2013.0,5.0
128486,2,1,Ht Pump,Y,5,2,1942.0,1,1942,500000.0,Q,6,1,0,16,1759,Condominium,1066.0,1322.0,20016.0,38.93690265,-77.07824168,Cleveland Park,Ward 3,1798,NW,2015.0,4.0
128493,1,1,Ht Pump,Y,4,2,1985.0,1,1985,364900.0,Q,1,1,0,16,1101,Condominium,1657.0,861.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2010.0,6.0
128500,1,1,Ht Pump,Y,4,2,1985.0,1,1985,340000.0,U,1,1,0,16,1101,Condominium,1657.0,860.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2011.0,2.0
128513,1,0,Ht Pump,Y,3,1,1985.0,1,1985,360000.0,U,5,1,1,16,1027,Condominium,1657.0,757.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2016.0,8.0
128517,1,0,Forced Air,Y,3,1,1948.0,0,1948,265000.0,Q,1,1,0,17,136,Condominium,3012.0,553.0,20008.0,38.950160765,-77.06901605,Wakefield,Ward 3,1977,NW,2013.0,3.0
128528,1,0,Forced Air,N,3,1,1948.0,0,1948,267000.0,Q,1,1,0,17,133,Condominium,3012.0,595.0,20008.0,38.950160765,-77.06901605,Wakefield,Ward 3,1977,NW,2013.0,8.0
128531,1,0,Forced Air,Y,2,0,1948.0,0,1948,247000.0,Q,1,1,0,17,137,Condominium,3012.0,577.0,20008.0,38.950160765,-77.06901605,Wakefield,Ward 3,1977,NW,2014.0,4.0
128537,2,0,Forced Air,Y,5,3,1948.0,0,1948,470000.0,Q,3,1,0,17,262,Condominium,3012.0,1164.0,20008.0,38.950160765,-77.06901605,Wakefield,Ward 3,1977,NW,2017.0,6.0
128541,1,0,Forced Air,Y,3,1,1948.0,0,1948,255000.0,Q,5,1,0,17,130,Condominium,3012.0,528.0,20008.0,38.950160765,-77.06901605,Wakefield,Ward 3,1977,NW,2018.0,1.0
128542,1,0,Forced Air,Y,3,1,1948.0,0,1948,262500.0,Q,1,1,0,17,149,Condominium,3012.0,578.0,20008.0,38.950160765,-77.06901605,Wakefield,Ward 3,1977,NW,2013.0,11.0
128548,1,1,Ht Pump,Y,4,2,1985.0,1,1985,423000.0,Q,5,1,0,16,1101,Condominium,1657.0,860.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2017.0,6.0
128559,1,0,Ht Pump,Y,3,1,1985.0,1,1985,369900.0,Q,4,1,1,16,1027,Condominium,1657.0,761.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2016.0,10.0
128564,1,1,Ht Pump,Y,3,1,1985.0,1,1985,375000.0,Q,4,1,1,16,995,Condominium,1657.0,713.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2016.0,4.0
128574,1,0,Ht Pump,Y,3,1,1985.0,1,1985,362500.0,Q,5,1,0,16,953,Condominium,1657.0,678.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2018.0,6.0
128583,1,0,Ht Pump,Y,3,1,1985.0,1,1985,369999.0,Q,6,1,1,16,1027,Condominium,1657.0,754.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2016.0,1.0
128587,1,1,Ht Pump,Y,3,1,1985.0,1,1985,340000.0,Q,1,1,0,16,995,Condominium,1657.0,713.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2013.0,7.0
128593,1,0,Hot Water Rad,N,2,0,1964.0,1,1964,57285.0,U,4,1,0,17,152,Condominium,1077.0,464.0,20007.0,38.92682074,-77.07428185,Observatory Circle,Ward 3,1930,NW,2017.0,11.0
128595,1,0,Hot Water Rad,N,2,0,1964.0,1,1964,194000.0,Q,3,1,0,17,152,Condominium,1077.0,466.0,20007.0,38.92682074,-77.07428185,Observatory Circle,Ward 3,1930,NW,2017.0,10.0
128603,1,0,Hot Water Rad,N,2,0,1964.0,1,1964,164000.0,Q,1,1,0,17,152,Condominium,1077.0,466.0,20007.0,38.92682074,-77.07428185,Observatory Circle,Ward 3,1930,NW,2012.0,8.0
128612,1,0,Ht Pump,Y,4,1,1942.0,1,1942,395000.0,Q,1,1,0,16,1372,Condominium,1066.0,1109.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2011.0,6.0
128616,1,0,Ht Pump,Y,3,1,1942.0,1,1942,355100.0,Q,5,1,0,16,908,Condominium,1066.0,682.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2017.0,5.0
128617,1,0,Ht Pump,Y,5,2,1942.0,1,1942,505511.0,Q,3,1,0,16,1721,Condominium,1066.0,1293.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2016.0,3.0
128618,1,0,Ht Pump,Y,4,1,1942.0,1,1942,480000.0,Q,3,1,0,16,1199,Condominium,1066.0,999.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2017.0,8.0
128623,1,0,Ht Pump,Y,4,1,1942.0,1,1942,488000.0,Q,5,1,0,16,1640,Condominium,1066.0,1232.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2016.0,6.0
128624,1,0,Ht Pump,Y,4,1,1942.0,1,1942,473000.0,Q,5,1,0,16,1564,Condominium,1066.0,1175.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2016.0,10.0
128629,1,0,Ht Pump,Y,4,1,1942.0,1,1942,480000.0,Q,4,1,0,16,1199,Condominium,1066.0,999.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2017.0,9.0
128631,2,0,Ht Pump,Y,5,2,1942.0,1,1942,525000.0,Q,4,1,0,16,1785,Condominium,1066.0,1341.0,20016.0,38.93647738,-77.07636626,Cleveland Park,Ward 3,1820,NW,2016.0,7.0
